Word	rank
的	1
是	2
在	3
一	4
不	5
有	6
这	7
个	8
上	9
也	10
他	11
人	12
就	13
对	14
说	15
我	16
要	17
到	18
大	19
我们	20
多	21
把	22
来	23
等	24
年	25
两	26
从	27
而	28
能	29
又	30
他们	31
以	32
时	33
没有	34
会	35
之	36
但	37
三	38
被	39
很	40
下	41
自己	42
后	43
中国	44
并	45
使	46
向	47
已	48
出	49
用	50
新	51
所	52
里	53
给	54
她	55
更	56
次	57
最	58
述	59
可以	60
可	61
去	62
由	63
问题	64
小	65
工作	66
让	67
其	68
你	69
这个	70
生活	71
起	72
这样	73
天	74
它	75
高	76
做	77
家	78
已经	79
再	80
或	81
才	82
前	83
走	84
这些	85
一些	86
却	87
二	88
条	89
位	90
起来	91
各	92
成	93
什么	94
兀	95
现在	96
社会	97
比	98
同	99
四	100
关系	101
名	102
想	103
如	104
第一	105
因为	106
该	107
开始	108
许多	109
内	110
时间	111
人们	112
今天	113
国家	114
本	115
点	116
思想	117
至	118
此	119
一定	120
如果	121
副	122
无	123
张	124
同时	125
需要	126
月	127
则	128
重要	129
为了	130
日	131
老	132
就是	133
作	134
五	135
人民	136
事	137
认为	138
成为	139
像	140
北京	141
历史	142
水	143
方面	144
情况	145
而且	146
党	147
学生	148
每	149
这里	150
但是	151
孩子	152
可能	153
发生	154
必须	155
只有	156
外	157
要求	158
全	159
发现	160
进行	161
特别	162
因	163
岁	164
得到	165
件	166
文化	167
分	168
便	169
同志	170
发展	171
即	172
日本	173
总	174
因此	175
对于	176
领导	177
带	178
既	179
时候	180
钱	181
自	182
政府	183
吃	184
非	185
决定	186
进	187
还是	188
受	189
国	190
应该	191
近	192
美	193
政治	194
话	195
公司	196
干部	197
出现	198
开	199
一切	200
研究	201
认识	202
写	203
十分	204
十	205
站	206
之间	207
问	208
希望	209
快	210
虽然	211
相	212
美国	213
知道	214
讲	215
大家	216
学校	217
组织	218
见	219
由于	220
正在	221
法	222
表示	223
一样	224
活动	225
如何	226
教育	227
书	228
据	229
城市	230
道	231
艺术	232
经济	233
以及	234
部	235
影响	236
太	237
其中	238
学	239
先生	240
完全	241
连	242
主要	243
继续	244
头	245
革命	246
之后	247
参加	248
能够	249
住	250
上海	251
经过	252
非常	253
低	254
甚至	255
听	256
先	257
一直	258
学习	259
仍	260
办	261
所以	262
代表	263
变	264
最后	265
一起	266
万	267
所有	268
那么	269
心	270
越	271
较	272
办法	273
路	274
有些	275
未	276
通过	277
找	278
按	279
拿	280
解决	281
一般	282
另	283
经	284
半	285
强	286
或者	287
时代	288
手	289
作品	290
不断	291
以后	292
关于	293
青年	294
各种	295
真	296
其他	297
农民	298
那些	299
余	300
段	301
有的	302
买	303
根本	304
县	305
作者	306
者	307
请	308
叫	309
感到	310
怎么	311
任何	312
六	313
表现	314
反	315
存在	316
然而	317
准备	318
送	319
约	320
比较	321
书记	322
爱	323
单位	324
群众	325
应当	326
王	327
早	328
女	329
门	330
个人	331
座	332
全国	333
意义	334
花	335
条件	336
环境	337
了解	338
搞	339
力量	340
不仅	341
目前	342
经验	343
产生	344
真正	345
回	346
队	347
有关	348
字	349
会议	350
生命	351
今年	352
努力	353
靠	354
八	355
市	356
类	357
共	358
意见	359
死	360
民族	361
块	362
只要	363
文学	364
成功	365
变化	366
句	367
管	368
你们	369
指	370
地区	371
方	372
和	373
项	374
注意	375
当然	376
达	377
面	378
坐	379
家庭	380
原因	381
进入	382
病	383
介绍	384
下来	385
事情	386
方式	387
首	388
计划	389
人类	390
报告	391
世纪	392
方法	393
入	394
信	395
化	396
步	397
生	398
声	399
图	400
电话	401
能力	402
片	403
作用	404
台	405
如此	406
困难	407
多少	408
打	409
为什么	410
随着	411
谈	412
支	413
村	414
米	415
农村	416
具有	417
现代	418
全部	419
运动	420
原	421
内容	422
帮助	423
文艺	424
放	425
主任	426
别	427
事业	428
汽车	429
李	430
技术	431
中央	432
口	433
跟	434
极	435
记者	436
只是	437
报	438
人员	439
以来	440
边	441
觉得	442
您	443
双	444
左右	445
建设	446
利用	447
称	448
怎样	449
行为	450
于是	451
朋友	452
正是	453
受到	454
人物	455
深	456
接受	457
来到	458
百	459
这么	460
山	461
电	462
发表	463
些	464
原来	465
生产	466
往	467
大学	468
认真	469
过程	470
有人	471
风	472
创造	473
抓	474
增加	475
不过	476
以上	477
七	478
它们	479
南	480
无法	481
时期	482
更加	483
传统	484
支持	485
根据	486
市场	487
包括	488
直接	489
份	490
机会	491
政策	492
科学	493
几乎	494
提高	495
批	496
金	497
坚持	498
可是	499
实际	500
完成	501
引起	502
代	503
责任	504
后来	505
劳动	506
任务	507
知识	508
周	509
部队	510
底	511
部分	512
母亲	513
首先	514
期	515
保护	516
理论	517
形式	518
医院	519
不可	520
云	521
行动	522
仍然	523
处理	524
远	525
去年	526
形成	527
跑	528
改变	529
那样	530
香港	531
相信	532
九	533
中	534
老师	535
新闻	536
红	537
仅	538
地位	539
除了	540
企业	541
刚	542
加	543
终于	544
主席	545
严重	546
容易	547
法律	548
建立	549
还	550
其实	551
服务	552
意识	553
自由	554
实现	555
着	556
那	557
光	558
达到	559
